"eco","rep","PARi","Photo","ids"
"eco1","g",1.582222581,-1.757343597,"eco1g"
"eco1","g",1.63099432,-1.984299929,"eco1g"
"eco1","g",49.19200516,2.205486051,"eco1g"
"eco1","g",73.99835205,3.219401812,"eco1g"
"eco1","g",98.57506561,4.598446005,"eco1g"
"eco1","g",198.1613464,9.271932959,"eco1g"
"eco1","g",299.7383423,12.56431567,"eco1g"
"eco1","g",399.9979553,14.26987526,"eco1g"
"eco1","g",499.0024719,14.75371683,"eco1g"
"eco1","g",499.233551,14.69057627,"eco1g"
"eco1","g",701.907959,15.37869892,"eco1g"
"eco1","g",848.5440063,16.13489962,"eco1g"
"eco1","g",999.4706421,16.33178079,"eco1g"
"eco1","g",1198.069702,16.65205256,"eco1g"
"eco1","g",1599.668945,16.71152793,"eco1g"
"eco1","g",1798.272217,16.84460743,"eco1g"
"eco1","h",3.619283915,-1.863770607,"eco1h"
"eco1","h",3.623693705,-1.829576061,"eco1h"
"eco1","h",50.25573349,0.963085677,"eco1h"
"eco1","h",75.18070221,2.142033331,"eco1h"
"eco1","h",101.0693665,3.414626756,"eco1h"
"eco1","h",199.1847382,7.439943995,"eco1h"
"eco1","h",301.9603577,10.53013119,"eco1h"
"eco1","h",399.2805481,12.08356061,"eco1h"
"eco1","h",497.7980652,13.01129804,"eco1h"
"eco1","h",499.0622864,13.12692378,"eco1h"
"eco1","h",701.8636475,14.21935189,"eco1h"
"eco1","h",851.7908936,14.44446361,"eco1h"
"eco1","h",1001.694336,14.61736062,"eco1h"
"eco1","h",1200.817749,14.73192625,"eco1h"
"eco1","h",1600.14502,14.73643835,"eco1h"
"eco1","h",1800.776489,15.32408694,"eco1h"
"eco2","g",1.553988814,-1.63261365,"eco2g"
"eco2","g",1.630845189,-1.366513581,"eco2g"
"eco2","g",49.41093826,2.020883036,"eco2g"
"eco2","g",74.22639465,3.495295062,"eco2g"
"eco2","g",98.90775299,4.924734369,"eco2g"
"eco2","g",198.6352386,8.710282526,"eco2g"
"eco2","g",300.2706909,11.06386302,"eco2g"
"eco2","g",400.6923218,12.22745985,"eco2g"
"eco2","g",499.7221985,11.96226119,"eco2g"
"eco2","g",499.8252563,13.0736273,"eco2g"
"eco2","g",698.442627,12.73129632,"eco2g"
"eco2","g",849.4146729,12.92242751,"eco2g"
"eco2","g",1000.797546,13.48145981,"eco2g"
"eco2","g",1199.510742,13.44142663,"eco2g"
"eco2","g",1600.871704,13.77917684,"eco2g"
"eco2","g",1798.886597,14.35126923,"eco2g"
"eco2","h",1.484545112,-1.522505557,"eco2h"
"eco2","h",1.553200603,-1.63684663,"eco2h"
"eco2","h",49.91200256,1.789549936,"eco2h"
"eco2","h",74.95292664,2.989051248,"eco2h"
"eco2","h",99.62586212,3.863315925,"eco2h"
"eco2","h",200.1322327,7.053127878,"eco2h"
"eco2","h",301.8906555,8.491947054,"eco2h"
"eco2","h",398.064209,9.181780261,"eco2h"
"eco2","h",500.9646301,9.358573,"eco2h"
"eco2","h",501.6844482,9.214463227,"eco2h"
"eco2","h",700.3549805,9.744371048,"eco2h"
"eco2","h",852.1925049,9.641642801,"eco2h"
