Light,Nutrients,Replicate,Photo,PARi
High,High,A,25.24212798,1201.399902
High,High,A,26.19169458,1398.408081
High,High,A,26.80300104,1601.128052
High,High,A,25.57893011,1000.638489
High,High,A,23.66257936,798.3516235
High,High,A,22.16955664,598.9868774
High,High,A,20.32062048,500.0323486
High,High,A,17.80808479,401.2956848
High,High,A,13.74891275,298.9156189
High,High,A,8.59992031,200.4058075
High,High,A,3.247351131,102.0642548
High,High,A,1.75756348,75.95917511
High,High,A,0.392189138,50.85104752
High,High,A,-0.811758507,23.77323723
High,High,A,-2.688790857,3.715879917
High,High,A,-2.655942707,3.693977594
High,High,A,-2.762156457,3.710650444
High,High,B,24.45467047,1199.646362
High,High,B,25.92196104,1401.260742
High,High,B,27.31701263,1599.407227
High,High,B,25.67420524,999.9003906
High,High,B,24.6478556,798.1276855
High,High,B,22.07018109,598.8988037
High,High,B,20.1219797,500.1148987
High,High,B,17.72157439,401.5066833
High,High,B,13.25001,299.1975403
High,High,B,7.661208871,200.7279205
High,High,B,1.596449864,102.2240295
High,High,B,-0.235682024,76.1419754
High,High,B,-2.217408352,50.95890427
High,High,B,-3.002798356,23.88298225
High,High,B,-5.360011106,3.695078373
High,High,B,-5.285923288,3.717293262
High,High,B,-5.289357799,3.706377745
Low,High,A,21.40736309,1199.974121
Low,High,A,21.68100877,1401.811768
Low,High,A,22.67869537,1598.718262
Low,High,A,21.08024898,1000.160645
Low,High,A,19.99027141,797.9537964
Low,High,A,18.61249606,599.7618408
Low,High,A,17.43055307,501.4395142
Low,High,A,15.68352188,400.0162659
Low,High,A,13.35385936,302.1426392
Low,High,A,9.643747212,198.6616058
Low,High,A,4.775543604,100.4786453
Low,High,A,3.276241276,75.38011932
Low,High,A,1.78207221,49.88231277
Low,High,A,0.141782533,24.94338799
Low,High,A,-1.528304058,1.696352005
Low,High,A,-1.803984298,1.635679007
Low,High,A,-1.759904159,1.650581717
Low,High,B,21.00154143,1198.391602
Low,High,B,21.16630275,1400.373169
Low,High,B,21.44526675,1602.064697
Low,High,B,20.49992886,1000.568726
Low,High,B,19.3217385,799.2128906
Low,High,B,18.78372689,601.3456421
Low,High,B,17.13111399,498.4755554
Low,High,B,15.99405039,401.4682007
Low,High,B,13.89083358,298.907074
Low,High,B,10.16153424,199.3732605
Low,High,B,5.150093623,100.9395142
Low,High,B,4.275202706,75.70589447
Low,High,B,2.653940924,50.06400681
Low,High,B,0.249763414,25.24460602
Low,High,B,-1.493608545,1.511107326
Low,High,B,-1.595201197,1.531740189
Low,High,B,-1.858858509,1.569589972
