"curveID","param","param_value","PARi","assim"
"Phi_0.05","Phi",0.05,0,-1
"Phi_0.05","Phi",0.05,10,-0.502638412223448
"Phi_0.05","Phi",0.05,20,-0.0105802337352497
"Phi_0.05","Phi",0.05,30,0.476136384172311
"Phi_0.05","Phi",0.05,40,0.95747566466642
"Phi_0.05","Phi",0.05,50,1.43340429314408
"Phi_0.05","Phi",0.05,60,1.90389150016695
"Phi_0.05","Phi",0.05,70,2.36890913909618
"Phi_0.05","Phi",0.05,80,2.8284317579839
"Phi_0.05","Phi",0.05,90,3.28243666530358
"Phi_0.05","Phi",0.05,100,3.73090398913079
"Phi_0.05","Phi",0.05,150,5.88968468144756
"Phi_0.05","Phi",0.05,200,7.90873648970395
"Phi_0.05","Phi",0.05,250,9.78892044895767
"Phi_0.05","Phi",0.05,300,11.5329118398295
"Phi_0.05","Phi",0.05,350,13.1450289415071
"Phi_0.05","Phi",0.05,400,14.6309718827524
"Phi_0.05","Phi",0.05,500,17.2521290199425
"Phi_0.05","Phi",0.05,600,19.457398362666
"Phi_0.05","Phi",0.05,800,22.8701244024898
"Phi_0.05","Phi",0.05,1000,25.3108800677804
"Phi_0.05","Phi",0.05,1250,27.4713498114628
"Phi_0.05","Phi",0.05,1500,29
"Phi_0.05","Phi",0.05,1800,30.3156362969512
"Phi_0.06","Phi",0.06,0,-1
"Phi_0.06","Phi",0.06,10,-0.403801249479974
"Phi_0.06","Phi",0.06,20,0.184749458353078
"Phi_0.06","Phi",0.06,30,0.76558742123662
"Phi_0.06","Phi",0.06,40,1.33865293383572
"Phi_0.06","Phi",0.06,50,1.90389150016696
"Phi_0.06","Phi",0.06,60,2.4612540307508
"Phi_0.06","Phi",0.06,70,3.0106970228818
"Phi_0.06","Phi",0.06,80,3.55218272251116
"Phi_0.06","Phi",0.06,90,4.08567926636393
"Phi_0.06","Phi",0.06,100,4.61116080306103
"Phi_0.06","Phi",0.06,150,7.11786994637849
"Phi_0.06","Phi",0.06,200,9.42388972364973
"Phi_0.06","Phi",0.06,250,11.5329118398295
"Phi_0.06","Phi",0.06,300,13.4521081910678
"Phi_0.06","Phi",0.06,350,15.1915076661234
"Phi_0.06","Phi",0.06,400,16.7632089603435
"Phi_0.06","Phi",0.06,500,19.457398362666
"Phi_0.06","Phi",0.06,600,21.6438812999379
"Phi_0.06","Phi",0.06,800,24.8833606358533
"Phi_0.06","Phi",0.06,1000,27.099471066706
"Phi_0.06","Phi",0.06,1250,29
"Phi_0.06","Phi",0.06,1500,30.3156362969512
"Phi_0.06","Phi",0.06,1800,31.4322687151044
"Phi_0.07","Phi",0.07,0,-1
"Phi_0.07","Phi",0.07,10,-0.30517654310726
"Phi_0.07","Phi",0.07,20,0.37922213763888
"Phi_0.07","Phi",0.07,30,1.05309526430384
"Phi_0.07","Phi",0.07,40,1.71635144893316
"Phi_0.07","Phi",0.07,50,2.36890913909618
"Phi_0.07","Phi",0.07,60,3.01069702288179
"Phi_0.07","Phi",0.07,70,3.64165438878714
"Phi_0.07","Phi",0.07,80,4.2617314363528
"Phi_0.07","Phi",0.07,90,4.8708895338942
"Phi_0.07","Phi",0.07,100,5.46910142025103
"Phi_0.07","Phi",0.07,150,8.29582245503827
"Phi_0.07","Phi",0.07,200,10.8514161250198
"Phi_0.07","Phi",0.07,250,13.1450289415071
"Phi_0.07","Phi",0.07,300,15.1915076661234
"Phi_0.07","Phi",0.07,350,17.009781354644
"Phi_0.07","Phi",0.07,400,18.6210985661416
"Phi_0.07","Phi",0.07,500,21.3102522289126
"Phi_0.07","Phi",0.07,600,23.4239815668243
"Phi_0.07","Phi",0.07,800,26.4467492030889
"Phi_0.07","Phi",0.07,1000,28.4469929180502
"Phi_0.07","Phi",0.07,1250,30.1258153760511
"Phi_0.07","Phi",0.07,1500,31.2719346949042
"Phi_0.07","Phi",0.07,1800,32.2366044130947
"Phi_0.08","Phi",0.08,0,-1
"Phi_0.08","Phi",0.08,10,-0.206764602116676
"Phi_0.08","Phi",0.08,20,0.572835529328031
"Phi_0.08","Phi",0.08,30,1.33865293383572
"Phi_0.08","Phi",0.08,40,2.09055639031639
"Phi_0.08","Phi",0.08,50,2.8284317579839
"Phi_0.08","Phi",0.08,60,3.55218272251116
"Phi_0.08","Phi",0.08,70,4.2617314363528
"Phi_0.08","Phi",0.08,80,4.95701904348317
"Phi_0.08","Phi",0.08,90,5.63800608039937
"Phi_0.08","Phi",0.08,100,6.30467274706603
"Phi_0.08","Phi",0.08,150,9.42388972364973
"Phi_0.08","Phi",0.08,200,12.1932921120927
"Phi_0.08","Phi",0.08,250,14.6309718827524
"Phi_0.08","Phi",0.08,300,16.7632089603435
"Phi_0.08","Phi",0.08,350,18.6210985661416
"Phi_0.08","Phi",0.08,400,20.2373617041778
"Phi_0.08","Phi",0.08,500,22.8701244024898
"Phi_0.08","Phi",0.08,600,24.8833606358533
"Phi_0.08","Phi",0.08,800,27.6824479698676
"Phi_0.08","Phi",0.08,1000,29.4895585431746
"Phi_0.08","Phi",0.08,1250,30.9839372972515
"Phi_0.08","Phi",0.08,1500,31.9949325625621
"Phi_0.08","Phi",0.08,1800,32.8414665701772
"Phi_0.09","Phi",0.09,0,-1
"Phi_0.09","Phi",0.09,10,-0.108565731807067
"Phi_0.09","Phi",0.09,20,0.76558742123662
"Phi_0.09","Phi",0.09,30,1.622253782291
"Phi_0.09","Phi",0.09,40,2.4612540307508
"Phi_0.09","Phi",0.09,50,3.28243666530358
"Phi_0.09","Phi",0.09,60,4.08567926636392
"Phi_0.09","Phi",0.09,70,4.8708895338942
"Phi_0.09","Phi",0.09,80,5.63800608039937
"Phi_0.09","Phi",0.09,90,6.38699896335766
"Phi_0.09","Phi",0.09,100,7.11786994637849
"Phi_0.09","Phi",0.09,150,10.5026526318799
"Phi_0.09","Phi",0.09,200,13.4521081910678
"Phi_0.09","Phi",0.09,250,15.9975063274574
"Phi_0.09","Phi",0.09,300,18.1805583123816
"Phi_0.09","Phi",0.09,350,20.0474345377251
"Phi_0.09","Phi",0.09,400,21.6438812999379
"Phi_0.09","Phi",0.09,500,24.1890839934708
"Phi_0.09","Phi",0.09,600,26.0906868197915
"Phi_0.09","Phi",0.09,800,28.6765240811089
"Phi_0.09","Phi",0.09,1000,30.3156362969512
"Phi_0.09","Phi",0.09,1250,31.6570834540531
"Phi_0.09","Phi",0.09,1500,32.5591272411023
"Phi_0.09","Phi",0.09,1800,33.3119244857468
"Phi_0.1","Phi",0.1,0,-1
"Phi_0.1","Phi",0.1,10,-0.0105802337352497
"Phi_0.1","Phi",0.1,20,0.95747566466642
"Phi_0.1","Phi",0.1,30,1.90389150016695
"Phi_0.1","Phi",0.1,40,2.8284317579839
"Phi_0.1","Phi",0.1,50,3.73090398913079
"Phi_0.1","Phi",0.1,60,4.61116080306103
"Phi_0.1","Phi",0.1,70,5.46910142025103
"Phi_0.1","Phi",0.1,80,6.30467274706603
"Phi_0.1","Phi",0.1,90,7.11786994637849
"Phi_0.1","Phi",0.1,100,7.90873648970395
"Phi_0.1","Phi",0.1,150,11.5329118398295
"Phi_0.1","Phi",0.1,200,14.6309718827524
"Phi_0.1","Phi",0.1,250,17.2521290199425
"Phi_0.1","Phi",0.1,300,19.457398362666
"Phi_0.1","Phi",0.1,350,21.3102522289126
"Phi_0.1","Phi",0.1,400,22.8701244024898
"Phi_0.1","Phi",0.1,500,25.3108800677804
"Phi_0.1","Phi",0.1,600,27.099471066706
"Phi_0.1","Phi",0.1,800,29.4895585431746
"Phi_0.1","Phi",0.1,1000,30.9839372972515
"Phi_0.1","Phi",0.1,1250,32.1979214241011
"Phi_0.1","Phi",0.1,1500,33.0108700468393
"Phi_0.1","Phi",0.1,1800,33.6878322115732
"theta_0.2","theta",0.2,0,-1
"theta_0.2","theta",0.2,10,-0.116812233257985
"theta_0.2","theta",0.2,20,0.733697011700404
"theta_0.2","theta",0.2,30,1.5529108289966
"theta_0.2","theta",0.2,40,2.34216374270705
"theta_0.2","theta",0.2,50,3.10274110383577
"theta_0.2","theta",0.2,60,3.83587891657017
"theta_0.2","theta",0.2,70,4.54276403212562
"theta_0.2","theta",0.2,80,5.22453465332029
