SPAD,Treatment,Pot,Photo,Cond,Ci,PARi,Date
67.3,ALAC,pot 6,26.75358129,0.305667736,231.0405788,1998.071045,3/23/17
67.3,ALAC,pot 6,26.63627447,0.314479644,236.5636751,1500.165527,3/23/17
67.3,ALAC,pot 6,25.99149346,0.318683698,242.3362447,1251.690552,3/23/17
67.3,ALAC,pot 6,25.10624578,0.321297303,248.6524076,1000.841064,3/23/17
67.3,ALAC,pot 6,23.96404439,0.321937491,255.4553996,800.8378906,3/23/17
67.3,ALAC,pot 6,21.88414875,0.320715858,266.7354742,600.1190796,3/23/17
67.3,ALAC,pot 6,17.72976478,0.31797916,288.7365545,400.4331055,3/23/17
67.3,ALAC,pot 6,12.39501682,0.312326895,317.1634715,249.7463226,3/23/17
67.3,ALAC,pot 6,3.74419184,0.29881415,364.4245709,100.746254,3/23/17
67.3,ALAC,pot 6,0.559342907,0.281373647,382.8390513,50.11108398,3/23/17
67.3,ALAC,pot 6,-2.527918935,0.256002172,402.7651517,3.277081966,3/23/17
56.8,ELAC,pot 6,19.06481619,0.183611424,209.6397853,2000.226196,3/23/17
56.8,ELAC,pot 6,20.2940677,0.210058331,220.7097964,1500.862793,3/23/17
56.8,ELAC,pot 6,20.8351488,0.225128853,227.469496,1247.864868,3/23/17
56.8,ELAC,pot 6,20.38576386,0.227279825,232.4037885,999.6395264,3/23/17
56.8,ELAC,pot 6,18.73075652,0.217002312,238.7757481,798.8007813,3/23/17
56.8,ELAC,pot 6,16.43862867,0.198491618,245.5675994,601.7426147,3/23/17
56.8,ELAC,pot 6,12.20500814,0.157052335,255.755979,401.4654846,3/23/17
56.8,ELAC,pot 6,7.653512168,0.12295813,282.5049339,250.2381134,3/23/17
56.8,ELAC,pot 6,2.240513836,0.090487108,344.3765536,100.7527084,3/23/17
56.8,ELAC,pot 6,-0.545029049,0.063405607,398.0326616,50.01457214,3/23/17
56.8,ELAC,pot 6,-2.754532916,0.037735091,500.0668164,3.095059156,3/23/17
NA,ELAC,pot 3,8.604565327,0.070807754,188.3695734,499.8916321,3/16/17
NA,ELAC,pot 3,11.73065272,0.092848379,179.3711705,699.5316772,3/16/17
NA,ELAC,pot 3,15.0130431,0.127932472,191.6519407,848.8268433,3/16/17
NA,ELAC,pot 3,18.13033732,0.17264197,209.6984757,998.4716797,3/16/17
NA,ELAC,pot 3,19.7836093,0.196222575,215.2897789,1200.289307,3/16/17
NA,ELAC,pot 3,21.56767613,0.218504675,217.452841,1598.439331,3/16/17
NA,ELAC,pot 3,22.91901686,0.240444485,221.7196215,1798.620728,3/16/17
NA,ELAC,pot 3,16.55388657,0.250204444,272.6434803,499.4135132,3/16/17
NA,ELAC,pot 3,15.20402278,0.238544026,277.5072168,401.1697693,3/16/17
NA,ELAC,pot 3,12.2321814,0.217505419,290.8356866,301.5374756,3/16/17
NA,ELAC,pot 3,8.450792425,0.199309104,314.4986734,200.3715057,3/16/17
NA,ELAC,pot 3,3.159441257,0.180966139,356.5548398,100.5967865,3/16/17
NA,ELAC,pot 3,1.83433491,0.168346899,367.5829778,76.22439575,3/16/17
NA,ELAC,pot 3,0.146351152,0.153274111,384.0933995,51.24383545,3/16/17
NA,ELAC,pot 3,-2.978862892,0.121274741,425.7301605,1.615098357,3/16/17
NA,ELAC,pot 3,-2.808855444,0.103908185,429.5310719,1.631215334,3/16/17
53.4,ALAC ,pot 2,8.730580606,0.092630576,231.9377222,500.2292786,3/16/17
53.4,ALAC ,pot 2,11.0837594,0.109330985,219.1444498,701.7622681,3/16/17
53.4,ALAC ,pot 2,13.15162015,0.122933281,209.1112326,848.9049683,3/16/17
53.4,ALAC ,pot 2,14.56652203,0.13618912,208.112935,1001.345886,3/16/17
53.4,ALAC ,pot 2,16.86316791,0.159014291,208.2962686,1202.064697,3/16/17
53.4,ALAC ,pot 2,18.9218763,0.181947665,209.8215492,1599.938965,3/16/17
53.4,ALAC ,pot 2,20.02346251,0.198685894,214.0352806,1799.427002,3/16/17
53.4,ALAC ,pot 2,16.34135977,0.215415889,257.2152954,498.2822571,3/16/17
53.4,ALAC ,pot 2,15.55918738,0.219428273,265.7267857,400.377594,3/16/17
53.4,ALAC ,pot 2,13.10984463,0.218837662,284.4056596,301.125061,3/16/17
53.4,ALAC ,pot 2,9.76278673,0.211964976,308.471829,200.2982483,3/16/17
