Light,Rep,Photo,PARi
shade,3,-1.107858928,2.181475401
shade,3,0.308693445,23.77208138
shade,3,2.222249601,51.01844788
shade,3,2.19215356,76.42162323
shade,3,3.401774195,123.9291
shade,3,5.64923811,250.385437
shade,3,7.218574849,399.9400635
shade,3,7.000371396,599.0053101
shade,3,7.402373191,799.1644287
shade,3,7.73075364,1101.566528
shade,3,8.221986116,1498.799316
shade,1,-1.281643775,1.710677505
shade,1,-0.972222328,2.64349699
shade,1,0.358150919,25.98082542
shade,1,2.080280548,51.73764038
shade,1,2.89541717,76.58870697
shade,1,4.830357976,124.3386459
shade,1,8.597974879,250.3890381
shade,1,11.15277029,401.5351868
shade,1,12.70951937,601.210022
shade,1,12.42571687,801.1741943
shade,1,13.19560933,1098.898071
shade,1,13.32732567,1499.548096
shade,2,-0.394004893,2.250864267
shade,2,-0.608902257,23.7913456
shade,2,-0.21380235,51.11535645
shade,2,0.998249454,76.47306824
shade,2,1.890912321,123.9702911
shade,2,4.744605716,250.1031952
shade,2,6.59999648,399.8766479
shade,2,7.394366943,599.3040771
shade,2,7.488557985,799.8709717
shade,2,8.101162393,1097.954712
shade,2,7.132175968,1500.541138
sun,1,-1.525597648,2.187802553
sun,1,0.303862403,23.44286537
sun,1,1.035928869,50.65268707
sun,1,2.225174941,75.96894836
sun,1,4.424291578,123.3608704
sun,1,6.007115056,249.7191162
sun,1,7.592636958,399.1377869
sun,1,7.260905692,601.6958008
sun,1,7.561700206,797.9563599
sun,1,8.30446053,1101.043091
sun,1,8.070148698,1498.595215
sun,2,-1.812743489,1.651794195
sun,2,-1.314308237,2.616274595
sun,2,-0.063717196,26.10428619
sun,2,1.1970857,48.17442703
sun,2,2.367731887,73.06957245
sun,2,5.068247698,125.2902298
sun,2,8.149720591,252.0990295
sun,2,9.023659216,399.2349548
sun,2,9.701261586,600.0477295
sun,2,10.01545909,798.8344116
sun,2,10.36782363,1098.762207
sun,2,10.48007922,1499.951904
sun,3,-1.275185742,1.658713222
sun,3,-1.325884106,2.622273445
sun,3,-0.090965267,26.2277832
sun,3,0.911518267,48.65998459
sun,3,1.986465804,73.65379333
sun,3,3.645080069,126.0982895
sun,3,5.232687507,249.1055908
sun,3,6.041913235,401.2067261
sun,3,6.199453502,598.3302612
sun,3,7.020923571,798.4389038
sun,3,7.038788888,1098.806763
sun,3,7.507813357,1498.542847
